Boulanger Creteil;Boulanger Creteil;Actif;97 Avenue du Maréchal Foch;Carrefour Pompadour;94000;Creteil;48.7801513671875;2.43766021728516;Societe;347384570 ;34738457001456 ;Prospect;;;;;;F117;Ouvert
Boulanger Saint-Doulchard;Boulanger Saint-Doulchard;Actif;1185 Route d'Orléans;;18230;Saint-Doulchard;47.11530898725813;2.374630331993103;Societe;347384570 ;34738457001605 ;Prospect;;;;;;F118;Ouvert
Boulanger Coignieres;Boulanger Coignieres;Actif;Centre Commercial Les portes de Chevreuse;RN 10;78310;Coignieres;48.75300133221845;1.9323757117614377;Societe;347384570 ;34738457001555 ;Prospect;;;;;;F119;Ouvert
Boulanger Paris Opera;Boulanger Paris Opera;Actif;30 boulevard des capucines;;75009;Paris;48.87018417997149;2.328103951520575;Societe;347384570 ;34738457001969 ;Prospect;;;;;;F120;Ouvert
Boulanger Paris Rosa Parks;Boulanger Paris Rosa Parks;Actif;179 Boulevard MacDonald;;75019;Paris;48.89837567489148;2.376401076057391;Societe;347384570 ;34738457001712 ;Prospect;;;;;;F121;Ouvert
Boulanger Reims - Thillois;Boulanger Reims - Thillois;Actif;ZAC de Thillois Nord;(face IKEA);51370;Thillois;49.25602978411356;3.969275175376879;Societe;347384570 ;34738457001795 ;Prospect;;;;;;F122;Ouvert
Boulanger Marseille - La Valentine;Boulanger Marseille - La Valentine;Actif;117 Centre Commercial Grand V - traverse de la Montre;;13011;Marseille;43.2952880859375;5.47575378417969;Societe;392327607 ;39232760700116 ;Prospect;;;;;;F123;Ouvert
Boulanger Vitrolles - Grand Vitrolles;Boulanger Vitrolles - Grand Vitrolles;Actif;RN 113;Centre Cial Grand Vitrolles Quartier du Griffon;13127;Vitrolles;43.43135741417175;5.261839866638184;Societe;392327607 ;39232760700041 ;Prospect;;;;;;F126;Ouvert
Boulanger Dijon - La Toison D'Or;Boulanger Dijon - La Toison D'Or;Actif;RN 74 - CC la;Niveau haut - Voie Georges Pompidou;21000;Dijon;47.35795719679979;5.050602161901907;Societe;392327607 ;39232760700157 ;Prospect;;;;;;F127;Ouvert
Boulanger Rennes Centre;Boulanger Rennes Centre;Actif;11 Rue de La Visitation;Centre Cial La Visitation;35000;Rennes;48.114444429164834;-1.679002285003662;Societe;392327607 ;39232760700363 ;Prospect;;;;;;F131;Ouvert
Boulanger Tours - St Pierre Des Corps;Boulanger Tours - St Pierre Des Corps;Actif;Centre Cial Les Atlantes ;;37700;Saint Pierre Des Corps;47.3897705078125;0.722478866577148;Societe;392327607 ;39232760700066 ;Prospect;;;;;;F132;Ouvert
Boulanger Orleans - Saran;Boulanger Orleans - Saran;Actif;Rue André Marie Ampère;Centre Cial Cap Saran RN 20;45770;Saran;47.9658097266692;1.886033535003662;Societe;392327607 ;39232760700025 ;Prospect;;;;;;F133;Ouvert
Boulanger Reims - Cormontreuil;Boulanger Reims - Cormontreuil;Actif;2, avenue des Goisses;Zone Ciale «Les Blancs Monts»;51350;Cormontreuil;49.21505410142408;4.057772755622864;Societe;392327607 ;39232760700272 ;Prospect;;;;;;F135;Ouvert
Boulanger Nancy - Frouard;Boulanger Nancy - Frouard;Actif;"1 rue du Saule Gaillard - Espace Commercial ""Grand Air""";(Face au Magasin LECLERC);54390;Frouard;48.7452137;6.149839400000019;Societe;392327607 ;39232760700199 ;Prospect;;;;;;F136;Ouvert
Boulanger Nancy - Vandoeuvre;Boulanger Nancy - Vandoeuvre;Actif;9 Boulevard Barthou;;54500;Vandoeuvre;48.6679415;6.1889777000000095;Societe;392327607 ;39232760700033 ;Prospect;;;;;;F137;Ouvert
Boulanger Metz Metzanine;Boulanger Metz Metzanine;Actif;Avenue Sébastopol;Centre Commercial Metzanine;57070;Metz;49.109810575579985;6.233691074096669;Societe;392327607 ;39232760700280 ;Prospect;;;;;;F138;Ouvert
Boulanger Strasbourg - Vendenheim;Boulanger Strasbourg - Vendenheim;Actif;34 Route de Strasbourg;;67550;Vendenheim;48.65876773430928;7.72143846761719;Societe;392327607 ;39232760700108 ;Prospect;;;;;;F141;Ouvert
