"TYPE";"Référence";"Désignation";"Etat";"Commentaire";"Prix d'achat dont ecotaxe";"EcoTaxe";"Eco Mobilier";"Type";"Fournisseur";"Fabriquant";"Catégorie";"Sous Catégorie";"Loyer";"Durée";"Visible sur le site";"EAN";"Description";"id_document_contrat :";"url image"
"PRODUIT PRINCIPAL";"CX522adebac_Axa_48";"Lexmark CX522ade + Double bac 650 feuilles 48 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";918,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";30,4;48;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";;
"PRODUIT PRINCIPAL";"CX522adebac_Axa_60";"Lexmark CX522ade + Double bac 650 feuilles 60 mois";"actif";"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";918,33;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";25,2;60;"Oui";;"Le multifonction Lexmark CX522ade permet d'imprimer jusqu'à 35 [33] pages par minute* et est doté d'un écran tactile couleur de 4,3 pouces [10,9 cm]. Le tiroir 550 feuilles prend en charge les formats A4, A5, JIS B5, Folio, Lettre, Légal, Executive et Oficio. Du papier (16 à 47 lb., 60 à 176 gsm) et du bristol peuvent être utilisés à partir de ce bac. Le chargeur multifonction de 100 feuilles prend en charge les formats A4, A5, A6, JIS B5, Folio, Lettre, Légal, Executive, Statement et Oficio ainsi que les formats d'enveloppe 7¾, 9, 10, DL, C5, B5 et Monarch. Du papier, des étiquettes en papier, des enveloppes, des transparents et du bristol peuvent être utilisés à partir du dispositif d'alimentation polyvalent. ";;
"PRODUIT PRINCIPAL";"CX825dte_Axa_36";"Lexmark CX825dte 36 mois";"actif";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";2076,58;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";82;36;"Oui";;"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";;
"PRODUIT PRINCIPAL";"CX825dte_Axa_48";"Lexmark CX825dte 48 mois";"actif";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";2076,58;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";63,8;48;"Oui";;"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";;
"PRODUIT PRINCIPAL";"CX825dte_Axa_60";"Lexmark CX825dte 60 mois";"actif";"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";2076,58;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";52,9;60;"Oui";;"Le MFP A4 couleur Lexmark CX825dte allie rapidité d'impression (jusqu'à 52 pages par minute), facilité d'utilisation, couleurs professionnelles et capacité d'alimentation standard de 1 750 pages maximum, sans oublier des options de finition disponibles.";;
"PRODUIT PRINCIPAL";"CX921de_Axa_36";"Lexmark CX921de 36 mois";"actif";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";2596,29;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";101,65;36;"Oui";;"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";;
"PRODUIT PRINCIPAL";"CX921de_Axa_48";"Lexmark CX921de 48 mois";"actif";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";2596,29;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";79;48;"Oui";;"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";;
"PRODUIT PRINCIPAL";"CX921de_Axa_60";"Lexmark CX921de 60 mois";"actif";"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";2596,29;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";65,5;60;"Oui";;"Bondée de fonctionnalités standards, la Lexmark CX921de est compatible avec le format SRA3 (30.48 x 45.72 cm) et imprime 35 ppm. Elle s'adapte idéalement à des charges de travail importantes en combinant l'impression, la copie, la numérisation, la télécopie et diverses options de finition.";;
"PRODUIT PRINCIPAL";"Garantie_Axa_36";"Garantie 3 ans sur site";"actif";"Garantie 3 ans sur site";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;36;"Oui";;"Garantie 3 ans sur site";;
"PRODUIT PRINCIPAL";"Garantie_Axa_48";"Garantie 4 ans sur site";"actif";"Garantie 4 ans sur site";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;48;"Oui";;"Garantie 4 ans sur site";;
"PRODUIT PRINCIPAL";"Garantie_Axa_60";"Garantie 5 ans sur site";"actif";"Garantie 5 ans sur site";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;60;"Oui";;"Garantie 5 ans sur site";;
"PRODUIT PRINCIPAL";"Livraison_Axa_36";"Livraison et Installation";"actif";"Livraison et Installation";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;36;"Oui";;"Livraison et Installation";;
"PRODUIT PRINCIPAL";"Livraison_Axa_48";"Livraison et Installation";"actif";"Livraison et Installation";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;48;"Oui";;"Livraison et Installation";;
"PRODUIT PRINCIPAL";"Livraison_Axa_60";"Livraison et Installation";"actif";"Livraison et Installation";0;0;0;"Fixe";"ORGANISATION SERVICE INFORMATIQUE LOGICI";"LEXMARK";"BUREAUTIQUE";"MULTIFONCTION";0;60;"Oui";;"Livraison et Installation";;
