"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";"prix";"id_facture_ligne";"type_facture"
"2d Developpement";"AFLI19070001";02/07/2019;"Redevance mensuelle pour Fibre Optique Eurafibre 10 Mbps - 363 rue de Saint Amand 59500 Douai - Garantie de Temps de rétablissement : sous 4h du lundi au vendredi de 9h à 18h";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"387.00";44541;"facture_periodique"
"2d Developpement";"AFLI19070001";02/07/2019;"Location routeur Fibre Optique";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";44542;"facture_periodique"
"AA PROTECTION";"AFLI19070002";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / MMS / Data 1 Go - Réseau Orange (Engagement 12 mois)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"14.00";44545;"facture_periodique"
"AA PROTECTION";"AFLI19070002";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.00";44546;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement mobile - Forfait illimité - Data 3Go";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"13.00";44561;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - forfait illimité - data 10Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"16.00";44562;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement Fibre ZVS 100Mbps";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"375.00";44563;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Cloud Firewall Standard";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"16.00";44564;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - Forfait illimité - Data 5Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"4.00";"15.00";44565;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Abonnement 4G - Forfait illimité - Data 1Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.00";44566;"facture_periodique"
"AbsysTech";"AFLI19070003";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"5.49";44567;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Routeur ADSL Wi-FI (engagement 36 mois)";02/07/2019;"VENTES DE MARCHANDISES";"LOCATION";"marchandise";"1.00";"5.00";44584;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Lien ADSL Orange (engagement 36 mois)";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"49.00";44585;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"N° SDA";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"5.00";"0.50";44586;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Trunk SIP full illimité - 2 canaux (appels illimités vers les fixes et mobiles en France + 40 destinations internationales) - à raison de 300 appels vers des numéros différents par canal et par mois - Engagement de 12 mois, renouvelable par tacite reconduction";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"46.00";44587;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Ligne T0 (accès RNIS) en VGA - Forfait full illimité - 2 canaux de communication - Engagement de 12 mois, renouvelable apr tacite reconduction  Appels illimités vers les fixes et les mobiles en France + 40 destinations internationales";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"60.00";44588;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Lien SDSL EFM 4 Mbps";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"173.00";44589;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Location Routeur SDSL EFM 2 paires";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";44590;"facture_periodique"
"ARASSOC Picardie";"AFLI19070004";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.43";44591;"facture_periodique"
"ARASSOC - Verpillières";"AFLI19070005";02/07/2019;"Unifax - Fax 2 Mail / Mail 2 Fax - 250 unités incluses [nl] Au-delà de 250 fax envoyés, le coût d'envoi d'un fax supplémentaire est de 0,10 ¤ HT (10% de remise incluse)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.00";44594;"facture_periodique"
"ARASSOC - Verpillières";"AFLI19070005";02/07/2019;"Sélection Directe à l'Arrivée (SDA) - Numéro dédié";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.50";44595;"facture_periodique"
"Association FLVS : Fédérons les Villes pour la Santé";"AFLI19070006";02/07/2019;"Lien VDSL Orange (engagement 12 mois) - Dégroupage total (Agence République Gestion Location)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"49.00";44599;"facture_periodique"
"Association FLVS : Fédérons les Villes pour la Santé";"AFLI19070006";02/07/2019;"Location routeur VDSL - Technicolor T788Vn V2 - Engagement 12 mois - (remis contre caution remboursable de 70¤/routeur)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44600;"facture_periodique"
"Association FLVS : Fédérons les Villes pour la Santé";"AFLI19070006";02/07/2019;"Frais d'activation du service VDSL pour engagement 12 mois";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"70.00";44601;"facture_periodique"
"Association pour la Promotion de Personnes Portant un Handicap - A3PH";"AFLI19070007";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / MMS / sans Data - Réseau Orange (Engagement 12 mois)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"3.00";"11.00";44603;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"N° SDA (Tourcoing)";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"20.00";"0.80";44626;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Abonnement mensuel - Trunk - illimité national - 2 canaux (Tourcoing)";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"30.00";44627;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Location routeur câble coaxial";02/07/2019;"VENTES DE MARCHANDISES";"LOCATION";"marchandise";"1.00";"7.00";44628;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Abonnement Internet sur câble coaxial - Débits : 100Mbps en download - 10Mbps en upload";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"70.00";44629;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Mise à disposition IPBX LT SOHO - (jusqu'à 32 utilisateurs - 15 communications simultanées - répondeur - pré-décroché)";02/07/2019;"VENTES DE MARCHANDISES";"LOCATION";"marchandise";"1.00";"20.00";44630;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Redevance mensuelle pour Fibre Optique 100Mbps au 9, place Chaptal - 59100 Roubaix - Garantie de Temps de rétablissement : 4H - Engagement 36 mois";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"695.00";44631;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Location modem / routeur fibre";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";44632;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"N° SDA ( Roubaix)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"10.00";"0.80";44633;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Abonnement mensuel - Trunk - illimité national - 1 canal ( Roubaix)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"6.00";"20.00";44634;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"location passerelle IAD - SIP / Numeris - 3TO (Roubaix)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";44635;"facture_periodique"
"Association Arcadis";"AFLI19070008";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"15.58";44636;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS] Abonnement mensuel accès IPBX hébergé - par site";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"15.00";44649;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS]Abonnement mensuel user IPBX hébergé - par user";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"6.00";"3.00";44650;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS] Maintenance mensuelle Equipements Centre privé Easy2Call";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"13.00";44651;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS]  Mise en service téléphonie hébergée - par site";02/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"150.00";44652;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS] Abonnement mensuel accès IPBX hébergé - par site [Mars - Avril - Mail - Juin 2019]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"3.70";"15.00";44653;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS] Abonnement mensuel user IPBX hébergé - par user [Mars - Avril - Mai - Juin 2019]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"22.20";"3.00";44654;"facture_periodique"
"ATOUTCOMS";"AFLI19070009";02/07/2019;"[SARL MVS] Maintenance mensuelle Equipements Centre privé Easy2Call [Mars - Avril - Mai - Juin 2019]";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.70";"13.00";44655;"facture_periodique"
"BAUDRY MARINE";"AFLI19070010";02/07/2019;"Lien VDSL Orange (engagement 12 mois) - Dégroupage total";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"49.00";44661;"facture_periodique"
"BAUDRY MARINE";"AFLI19070010";02/07/2019;"n° SDA";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.80";44662;"facture_periodique"
"BAUDRY MARINE";"AFLI19070010";02/07/2019;"Location routeur VDSL - Technicolor T788Vn V2 - Engagement 12 mois";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44663;"facture_periodique"
"BAUDRY MARINE";"AFLI19070010";02/07/2019;"Sécurisation du lien via Cloud Firewall Fortinet. Firewall ""Stateful"", proxy, NAT, paramètrage multiwan, Accès distant IPSec et SSL, MPLS";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"39.00";44664;"facture_periodique"
"BAUDRY MARINE";"AFLI19070010";02/07/2019;"Solution fax Unifax - fax2mail / mail2fax - 250 unités incluses";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.00";44665;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Abonnement mensuel accès IPBX hébergé - par site";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"15.00";44686;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Abonnement mensuel user IPBX hébergé - par utilisateur";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"3.00";"3.00";44687;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Trunk - illimité national - 1 canal";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"4.00";"15.00";44688;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Abonnement Internet sur câble coaxial - Débits : 100Mbps en download - 10Mbps en upload";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"70.00";44689;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"N° SDA";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"0.80";44690;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / Data 3Go - Réseau Orange";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"6.00";"21.00";44691;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / Data 5Go - Réseau Orange";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"24.00";44692;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Administration Contrôleur Unifi";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"9.00";44693;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Maintenance mensuelle Equipements Centrex privé Easy2Call";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"15.00";44694;"facture_periodique"
"BECITY";"AFLI19070011";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.77";44695;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Abonnement ADSL Orange Dégroupage Total - avec IP fixe - Engagement 12 mois";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"45.00";44710;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Location Routeur/modem ADSL Wi-Fi";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"2.00";"5.00";44711;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Remise commerciale exceptionnelle sur l'abonnement ADSL";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"-5.00";44712;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Trunk SIP - 4 canaux de communication simultanée - Engagement de 12 mois, renouvelable ensuite par tacite reconduction chaque mois [nl]Les appels à destination des fixes en France sont au tarif de 0.019 ¤ HT/min, Les appels à destination des mobiles en France sont au tarif de 0.08 ¤ HT/min";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"20.00";44713;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Sélection Directe à l'Arrivée (SDA) : 03 20 48 87 30";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.80";44714;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Maintenance mensuelle et extension de garantie du matériel durant 12 mois à raison de 10 ¤ HT/site en centrex et 2 ¤ HT/téléphone - Accès à la hotline 24h/24 et 7j/7 - Nécessite l'ouverture d'une requête hotline pour toute prise en charge du support technique AbsysTech Telecom - Engagement de 12 mois avec reconduction tacite [DLI18120019]";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"26.00";44715;"facture_periodique"
"BERGAN";"AFLI19070012";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"46.72";44716;"facture_periodique"
"CABINET RADIOLOGIE DE LA LYS";"AFLI19070013";02/07/2019;"Location Routeur SDSL EFM 2 paires";02/07/2019;"VENTES DE MARCHANDISES";"LOCATION";"marchandise";"1.00";"15.00";44719;"facture_periodique"
"CABINET RADIOLOGIE DE LA LYS";"AFLI19070013";02/07/2019;"Lien SDSL EFM 4 Mbps - Orange ZC1 - 2 paires";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"170.00";44720;"facture_periodique"
"CABoost";"AFLI19070014";02/07/2019;"Trunk SIP full illimité - 2 canaux";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"2.00";"46.00";44727;"facture_periodique"
"CABoost";"AFLI19070014";02/07/2019;"Numéro géographique ou non géographique";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"4.00";"0.50";44728;"facture_periodique"
"CABoost";"AFLI19070014";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"280.16";44729;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Trunk SIP - Illimités vers les fixes et mobiles - 1 canal";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"8.00";"30.00";44756;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Téléphonie mobile 4G - Forfait illimité fixes / mobiles / SMS / Data 3Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"22.00";44757;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Unifax - Fax2mail";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"5.00";44758;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Abonnement FTTH - Débits : 1Gbps / 200Mbps - 1 Adresse IP Fixe";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"68.00";44759;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Accès ADSL - Support SFR - Dégroupage total - Engagement 12 mois - Adresse IP fixe [Olivier Minne]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"30.00";44760;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Lien VDSL Orange - Dégroupage total";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"49.00";44761;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Sécurisation du lien via Cloud Firewall Fortinet. Firewall ""Stateful"", proxy, NAT, paramètrage multiwan, Accès distant IPSec et SSL, MPLS";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"29.00";44762;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"N°SDA";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"34.00";"0.80";44763;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Location Routeur FTTH - 5 ports Gigabit LAN - Wifi built-in 2,4Ghz / 5Ghz";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44764;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Location routeur VDSL - Technicolor T788Vn V2";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44765;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Location modem ADSL";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44766;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"73.74";44767;"facture_periodique"
"Cap Recouvrement";"AFLI19070015";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / Sans data - Réseau Orange";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"3.00";"11.00";44768;"facture_periodique"
"CARDON Isabelle";"AFLI19070016";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / Data 10Go - Réseau Orange";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"21.00";44770;"facture_periodique"
"Carlton Lille Investissements";"AFLI19070017";02/07/2019;"Redevance mensuelle pour Fibre Optique BPE Access 100Mbps - 2Mbps garantis au 3, rue Pierre Mauroy - 59000 Lille - Garantie de Temps de rétablissement : 8H";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"129.00";44776;"facture_periodique"
"Carlton Lille Investissements";"AFLI19070017";02/07/2019;"Location modem / routeur fibre (Remis contre un caution encaissable de 180¤)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"5.00";44777;"facture_periodique"
"Carlton Lille Investissements";"AFLI19070017";02/07/2019;"Remise sur date démarrage abonnement";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"0.30";"-129.00";44778;"facture_periodique"
"CFM IMMO 2";"AFLI19070018";02/07/2019;"N° SDA";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"11.00";"0.80";44785;"facture_periodique"
"CFM IMMO 2";"AFLI19070018";02/07/2019;"Abonnement mensuel - Trunk - illimité national";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"6.00";"15.00";44786;"facture_periodique"
"CFM IMMO 2";"AFLI19070018";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"9.13";44787;"facture_periodique"
"CLEODIS";"AFLI19070019";02/07/2019;"Lien SDSL EFM 2Mbps - Orange Zone ZC1 - 1 paire";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"83.00";44791;"facture_periodique"
"CLEODIS";"AFLI19070019";02/07/2019;"Location Routeur SDSL EFM";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"12.00";44792;"facture_periodique"
"CLEODIS";"AFLI19070019";02/07/2019;"Forfait 4G illimité fixes / mobiles / SMS / Data 2Go - Réseau Orange - Engagement 12 mois";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"3.00";"15.00";44793;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Ligne RNIS VGA - Forfait Illimité national";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"45.00";44834;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Remise de 5% sur l'abonnement ligne T0 (accès RNIS)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"2.00";"-2.25";44835;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"n° SDA";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"10.00";"0.90";44836;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Consommations de la période précédente";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"1.44";44837;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Ligne RNIS VGA - Forfait Illimité national [Juin 2019]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"0.20";"45.00";44838;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Remise de 5% sur l'abonnement ligne T0 (accès RNIS) [Juin 2019]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"0.20";"-2.25";44839;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Activation du groupement de lignes T0 (RNIS) - Reprise chez AbsysTech Telecom de la tête de ligne 03 28 42 43 28 et de l'ensemble des SDA associés";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"30.00";44840;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Remise de 33% sur les frais d'activation du groupement de lignes T0";02/07/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"-10.00";44841;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"n° SDA [juin]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.90";44842;"facture_periodique"
"COLLÈGE ROBERT LE FRISON";"AFLI19070020";02/07/2019;"Fourniture et activation carte SIM Triple Découpe";02/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"2.00";"15.00";44843;"facture_periodique"
"COMMUNE DE BAVAY";"AFLI19070021";02/07/2019;"Trunk SIP Full Illimité - 4 canaux";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"92.00";44854;"facture_periodique"
"COMMUNE DE BAVAY";"AFLI19070021";02/07/2019;"Lien SDSL EFM 4Mbps - Orange Zone ZC2 - 1 paire de cuivre - Engagement 36 mois - Support : Orange - GTR 4H ouvrés";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"147.00";44855;"facture_periodique"
