"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";"prix";"id_facture_ligne";"type_facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Point d'accès sans fil Ubiquiti UniFi AC PRO WiFi - 1300 Mbps @ 5Ghz - 450 Mbps@2,4Ghz - 802.3af/at PoE - 802.11AC";25/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"139.00";46359;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Mitel Aastra 6867i - Ecran couleur 3,5"" - 2 ports GigE Ethernet (LAN/PC) - Touches physiques - 2 touches de ligne avec LEDs - Jusqu'à 9 lignes avec LEDs - Port USB 2.0 Type-A - Pavé de navigation avec touche centrale - 6 touches softkeys programmables avec LEDs (jusqu'à 20 fonctions) - 4 touches softkey système contextuelles (jusqu'à 18 fonctions) - Haut-parleur et combiné HD large-bande - Main libre avec 2 micros - Support casque - Orientation selon 2 angles (35° & 60°) grâce au pied réversible - Livré sans alimentation";25/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"141.00";46360;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Configuration d'un poste IP sur l'IPBX";25/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"1.00";"34.00";46361;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Bloc secteur pour terminaux SIP 67xxi - EU";25/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"14.00";46362;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"RFP L35IP, borne radio DECT/SIP 8 communications simultanées, PoE";25/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"580.00";46363;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Installation / Configuration borne Aastra DECT";25/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"1.00";"70.00";46364;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070174";25/07/2019;"Ubiquiti Routeur Unifi Security Gateway (USG) - 3 x RJ45 Gigabits WAN / LAN / VOIP - 1 port console RJ45 - Fonctions : VLAN, QoS, Firewall, Redirection de port - Gestion via le logiciel UniFi controller";25/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"139.00";46365;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Switch UniFi 8 ports Gigabit dont 4 ports PoE 802.3 af/at (administrable) - 60W (Garantie1 an)";26/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"129.00";46366;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Point d'accès sans fil Ubiquiti UniFi AC PRO WiFi - 1300 Mbps @ 5Ghz - 450 Mbps@2,4Ghz - 802.3af/at PoE - 802.11AC";26/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"139.00";46367;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Gigaset 650H Pro - DECT - Ecran TFT rétroéclairé couleur de 1,8"" et clavier - Prise jack 2,5 pour connexion casque - Mains libres - Vibreur - Son HDSP, - Grand écran couleur - Répertoire 500 contacts - Autonomie: 12h en conversation - 300h en veille";26/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"69.00";46368;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Intervention sur site le 17/07/19 pour diagnostic et dépannage switch Netgear HS sur plateau service client";26/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"2.25";"72.00";46369;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Installation / Configuration Switch Unifi 8 ports";26/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"1.00";"45.00";46370;"facture"
"PAUL DEQUIDT TORREFACTEUR";"AFLI19070175";26/07/2019;"Installation / Configuration Point d'accès Wifi Unifi";26/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"1.00";"45.00";46371;"facture"
"DECOCK DEVELOPPEMENT";"AFLI19070176";26/07/2019;"Apc replacement battery cartridge #2 - batterie d`onduleur acide de plomb";26/07/2019;"VENTES DE MARCHANDISES";"VENTES DE MARCHANDISES";"marchandise";"1.00";"49.00";46372;"facture"
"DECOCK DEVELOPPEMENT";"AFLI19070176";26/07/2019;"Prestation forfaitaire d'installation sur site";26/07/2019;"PRESTATIONS / SUPPORT";"PRESTATIONS / SUPPORT";"service";"1.00";"69.00";46373;"facture"
"2d Developpement";"AFLI19080001";02/08/2019;"Redevance mensuelle pour Fibre Optique Eurafibre 10 Mbps - 363 rue de Saint Amand 59500 Douai - Garantie de Temps de rétablissement : sous 4h du lundi au vendredi de 9h à 18h";02/08/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"387.00";46386;"facture_periodique"
"2d Developpement";"AFLI19080001";02/08/2019;"Location routeur Fibre Optique";02/08/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"15.00";46387;"facture_periodique"
"AA PROTECTION";"AFLI19080002";02/08/2019;"Forfait 4G illimité fixes / mobiles / SMS / MMS / Data 1 Go - Réseau Orange (Engagement 12 mois)";02/08/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"14.00";46390;"facture_periodique"
"AA PROTECTION";"AFLI19080002";02/08/2019;"Consommations de la période précédente";02/08/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"0.00";46391;"facture_periodique"
"AbsysTech";"AFLI19080003";02/08/2019;"Abonnement mobile - Forfait illimité - Data 3Go";02/08/2019;"VENTES DE MARCHANDISES";"VENTES D'ABONNEMENT";"marchandise";"1.00";"13.00";46406;"facture_periodique"
"AbsysTech";"AFLI19080003";02/08/2019;"Abonnement 4G - forfait illimité - data 10Go";02/08/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"16.00";46407;"facture_periodique"
